TABLE;CODE;PAC1;PAC2;VOLTAGE;PHASES;SEC_PHASES;VOLTAGE_TYPE;FEEDER;TRANSFORMER_TYPE
UCBT;12727569;16374265PE;;;ABN;;BT;BRBBB-FC;
UCBT;2000225284;13804181PE;;;AN;;BT;BRBBB-FC;
UCBT;2000838738;17400021PE;;;AN;;BT;BRBBB-FC;
UCBT;10923450;16320472PE;;;AN;;BT;BRBBB-FC;
UCBT;2000765728;17022562PE;;;AN;;BT;BRBBB-FC;
UCBT;2000447774;17404486PE;;;AN;;BT;BRBBB-FC;
UCBT;19966194;13985204PE;;;AN;;BT;BRBBB-FC;
UCBT;2000803026;17381046PE;;;ABN;;BT;BRBBB-FC;
UCBT;2000523698;17018384PE;;;AN;;BT;BRBBB-FC;
UCBT;16855618;13808669PE;;;AN;;BT;BRBBB-FC;
UCBT;98901493;13800037PE;;;AN;;BT;BRBBB-FC;
UCBT;20195550;13798331PE;;;AN;;BT;BRBBB-FC;
UCBT;16816175;13808367PE;;;AN;;BT;BRBBB-FC;
UCBT;13003726;13806291PE;;;AN;;BT;BRBBB-FC;
UCBT;96489269;13799589PE;;;AN;;BT;BRBBB-FC;
UCBT;20193875;13798344PE;;;AN;;BT;BRBBB-FC;
UCBT;20198150;5005709PE;;;AN;;BT;BRBBB-FC;
UCBT;16272140;16167060PE;;;AN;;BT;BRBBB-FC;
UCBT;20196378;16168501PE;;;AN;;BT;BRBBB-FC;
UCBT;2000510547;16167875PE;;;AN;;BT;BRBBB-FC;
UCBT;2000333973;14020472PE;;;AN;;BT;BRBBB-FC;
UCBT;13589631;16389873PE;;;AN;;BT;BRBBB-FC;
UCBT;2000152779;13802504PE;;;AN;;BT;BRBBB-FC;
UCBT;102949528;13800468PE;;;AN;;BT;BRBBB-FC;
UCBT;13421846;13806437PE;;;AN;;BT;BRBBB-FC;
UCBT;18702649;13797446PE;;;AN;;BT;BRBBB-FC;
UCBT;17433261;13808964PE;;;AN;;BT;BRBBB-FC;
UCBT;2000144529;13802557PE;;;ABN;;BT;BRBBB-FC;
UCBT;13224307;13806163PE;;;AN;;BT;BRBBB-FC;
UCBT;18448688;5074844PE;;;AN;;BT;BRBBB-FC;
UCBT;17088866;5074588PE;;;AN;;BT;BRBBB-FC;
UCBT;16885525;16256977PE;;;ABCN;;BT;BRBBB-FC;
UCBT;95527809;16168493PE;;;AN;;BT;BRBBB-FC;
UCBT;13258139;13806150PE;;;AN;;BT;BRBBB-FC;
UCBT;16279560;13801094PE;;;AN;;BT;BRBBB-FC;
UCBT;18394774;13982472PE;;;AN;;BT;BRBBB-FC;
UCBT;2000525421;16536184PE;;;AN;;BT;BRBBB-FC;
UCBT;14162895;13807308PE;;;AN;;BT;BRBBB-FC;
UCBT;14504745;13807882PE;;;AN;;BT;BRBBB-FC;
UCBT;2000060173;14217501PE;;;AN;;BT;BRBBB-FC;
UCBT;104592546;13800704PE;;;AN;;BT;BRBBB-FC;
UCBT;17914669;16548886PE;;;AN;;BT;BRBBB-FC;
UCBT;106103470;13801269PE;;;AN;;BT;BRBBB-FC;
UCBT;13255210;5005729PE;;;AN;;BT;BRBBB-FC;
UCBT;10545560;16256980PE;;;AN;;BT;BRBBB-FC;
UCBT;2000482570;15199673PE;;;AN;;BT;BRBBB-FC;
UCBT;2000131057;13802341PE;;;AN;;BT;BRBBB-FC;
UCBT;94406498;15688745PE;;;AN;;BT;BRBBB-FC;
UCBT;96707010;13799805PE;;;AN;;BT;BRBBB-FC;
UCBT;103195403;13800603PE;;;AN;;BT;BRBBB-FC;
UCBT;103199131;13800591PE;;;AN;;BT;BRBBB-FC;
UCBT;96138636;13799624PE;;;AN;;BT;BRBBB-FC;
UCBT;10924464;16283293PE;;;AN;;BT;BRBBB-FC;
