"TABLE","CODE","PAC1","PAC2","VOLTAGE","PHASES","SEC_PHASES","VOLTAGE_TYPE","FEEDER","TRANSFORMER_TYPE","X1","Y1","X2","Y2"
"UCBT","102538587","16414333PE","",,"AN","","BT","BRBBB-FC","",-49.60539272,-3.55940073300002,0,0
"UCBT","16769207","13808150PE","",,"ABCN","","BT","BRBBB-FC","",-49.509873444,-3.99839014299999,0,0
"UCBT","2000691889","16753025PE","",,"AN","","BT","BRBBB-FC","",-49.550612984,-3.83301595799998,0,0
"UCBT","2000337648","14076339PE","",,"AN","","BT","BRBBB-FC","",-49.488687876,-3.368908605,0,0
"UCBT","19701352","13797642PE","",,"AN","","BT","BRBBB-FC","",-49.366044301,-3.59574056700001,0,0
"UCBT","13138109","13806207PE","",,"AN","","BT","BRBBB-FC","",-49.433493346,-3.61614018500001,0,0
"UCBT","102540077","13800168PE","",,"AN","","BT","BRBBB-FC","",-49.512333456,-3.997570752,0,0
"UCBT","43908693","13798555PE","",,"AN","","BT","BRBBB-FC","",-49.599203579,-3.44478992799998,0,0
"UCBT","19957950","13798058PE","",,"AN","","BT","BRBBB-FC","",-49.571014307,-3.77441041100002,0,0
"UCBT","10914485","13804669PE","",,"AN","","BT","BRBBB-FC","",-49.608825525,-3.56241329599999,0,0
"UCBT","91400162","15168240PE","",,"AN","","BT","BRBBB-FC","",-49.425068734,-4.140077722,0,0
"UCBT","2000524130","15758783PE","",,"AN","","BT","BRBBB-FC","",-49.463973386,-3.55963010200003,0,0
"UCBT","2000510801","15093255PE","",,"AN","","BT","BRBBB-FC","",-49.500621499,-4.13997019800001,0,0
"UCBT","2000152011","16168683PE","",,"AN","","BT","BRBBB-FC","",-49.588412522,-3.42341249499998,0,0
"UCBT","14457704","13807538PE","",,"AN","","BT","BRBBB-FC","",-49.608331977,-3.56122127399999,0,0
"UCBT","16817899","13808338PE","",,"AN","","BT","BRBBB-FC","",-49.507703442,-3.52723005000001,0,0
"UCBT","2000153094","13802803PE","",,"AN","","BT","BRBBB-FC","",-49.554183509,-3.51942003400001,0,0
"UCBT","2000528690","16536409PE","",,"AN","","BT","BRBBB-FC","",-49.462263376,-3.55897010400003,0,0
"UCBT","98463607","16168513PE","",,"AN","","BT","BRBBB-FC","",-49.443783262,-3.828131128,0,0
"UCBT","2000152346","12436053PE","",,"AN","","BT","BRBBB-FC","",-49.604203588,-3.56243009999997,0,0
"UCBT","2000131022","13799255PE","",,"AN","","BT","BRBBB-FC","",-49.430210044,-3.94317295899998,0,0
"UCBT","12472412","13805738PE","",,"AN","","BT","BRBBB-FC","",-49.540103549,-3.93769074400001,0,0
"UCBT","102540034","13800169PE","",,"AN","","BT","BRBBB-FC","",-49.51276346,-3.997680747,0,0
"UCBT","102540247","13800162PE","",,"AN","","BT","BRBBB-FC","",-49.51228292,-3.994520636,0,0
"UCBT","95528520","5005714PE","",,"AN","","BT","BRBBB-FC","",-49.591133168,-3.42180013699999,0,0
"UCBT","11215491","16480493PE","",,"AN","","BT","BRBBB-FC","",-49.602883562,-3.44519993400002,0,0
"UCBT","13884200","15168302PE","",,"ABCN","","BT","BRBBB-FC","",-49.510023461,-3.99749075199998,0,0
"UCBT","19532259","6908405PE","",,"AN","","BT","BRBBB-FC","",-49.521933072,-3.65718048100001,0,0
"UCBT","11502172","13805456PE","",,"ABCN","","BT","BRBBB-FC","",-49.536183485,-3.61637018699997,0,0
"UCBT","5492769","13803204PE","",,"AN","","BT","BRBBB-FC","",-49.475663407,-3.762600405,0,0
"UCBT","16857483","13808648PE","",,"AN","","BT","BRBBB-FC","",-49.555593516,-3.70166030799999,0,0
"UCBT","16857513","13808647PE","",,"AN","","BT","BRBBB-FC","",-49.558642764,-3.68515925999998,0,0
"UCBT","16857580","13808645PE","",,"AN","","BT","BRBBB-FC","",-49.556634274,-3.67632129100002,0,0
"UCBT","16700711","13982482PE","",,"AN","","BT","BRBBB-FC","",-49.43452409,-3.51858106399999,0,0
"UCBT","16700738","13982481PE","",,"AN","","BT","BRBBB-FC","",-49.442973347,-3.52934005600002,0,0
